title,overview,genres,poster_path
The Impossible Voyage,"Using every known means of transportation, several savants from the Geographic Society undertake a journey through the Alps to the Sun which finishes under the sea.",['Adventure'],/mnbGqzZ6bbgI3G1152HKCsJvXpf.jpg
Die Nibelungen: Kriemhild's Revenge,"When Kriemhild, thirsty for revenge, marries to Etzel, king of the Huns, she invites King Gunther and his court to visit them, intending to finally take the life of the man responsible of her disgrace.",['Adventure'],/fQ74KhKpjVrxvWJT69EnCIKFaH3.jpg
The Navigator,"The wealthy and impulsive Rollo Treadway decides to propose to his beautiful socialite neighbor, Betsy O'Brien. Although Betsy turns Rollo down, he still opts to go on the cruise that he intended as their honeymoon. When circumstances find both Rollo and Betsy on the wrong ship, they end up having adventures on the high seas.",['Adventure'],/eFIbnDnBnIi1qnz15UUiMFmjRmL.jpg
The Gold Rush,A gold prospector in Alaska struggles to survive the elements and win the heart of a dance hall girl.,['Adventure'],/eQRFo1qwRREYwj47Yoe1PisgOle.jpg
The Black Pirate,"A nobleman vows to avenge the death of his father by the hands of pirates. To this end, he infiltrates the pirate band; Acting in character, he single-handedly captures a merchant vessel, but things are complicated when he finds that there is a beautiful young woman of royal blood aboard.",['Adventure'],/841WLSvTRN3TQKxiUjD1TY9dc42.jpg
Tabu: A Story of the South Seas,"On the South Pacific island of Bora Bora, a young couple's love is threatened when the tribal chief declares the girl a sacred virgin.",['Adventure'],/c4zfawkB8Jsp5lhWl62QCzczR3M.jpg
The Most Dangerous Game,"When legendary hunter Bob Rainsford is shipwrecked on the perilous reefs surrounding a mysterious island, he finds himself the guest of the reclusive and eccentric Count Zaroff. While he is very gracious at first, Zaroff eventually forces Rainsford and two other shipwreck survivors, brother and sister Eve and Martin Towbridge, to participate in a sadistic game of cat and mouse in which they are the prey and he is the hunter.",['Adventure'],/3aNlOIFlGOnIzxqvAWpgm5Sly1H.jpg
The Adventures of Robin Hood,Robin Hood fights nobly for justice against the evil Sir Guy of Gisbourne while striving to win the hand of the beautiful Maid Marian.,['Adventure'],/4mazyXEMkmLw5h6076yyNSm9uv0.jpg
Stagecoach,"A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo, and learn something about each other in the process.",['Adventure'],/zgMnfnwWZ3nkx4t0bUDEKtW24O8.jpg
Only Angels Have Wings,A traveling performer arrives at a remote South American port town where the head of an air freight service must risk his pilots' lives to earn a major contract.,['Adventure'],/lqcwiWancAkjtAQPHr9V3SfJjBM.jpg
Beau Geste,"When three brothers join the Foreign Legion to escape a troubled past, they find themselves trapped under the command of a sadistic sergeant deep in the scorching Sahara. Now the brothers must fight for their lives as they plot mutiny against tyranny and defend a desert fortress against a brutal enemy.",['Adventure'],/xDRHfwghNNXy4ASdus5GSzyTX6x.jpg
Gunga Din,"British army sergeants Ballantine, Cutter and MacChesney serve in India during the 1880s, along with their native water-bearer, Gunga Din. While completing a dangerous telegraph-repair mission, they unearth evidence of the suppressed Thuggee cult. When Gunga Din tells the sergeants about a secret temple made of gold, the fortune-hunting Cutter is captured by the Thuggees, and it's up to his friends to rescue him.",['Adventure'],/n0tcuzMzQJGpTRkGzbg8c4fJ6Ga.jpg
Boom Town,Two buddies who rise from fly-by-night wildcatters to oil tycoons over a twenty year period both love the same woman. McMasters and Sand come to oil towns to get rich. Betsy comes West intending to marry Sand but marries McMasters instead. Getting rich and losing it all teaches McMasters and Sand the value of personal ties.,['Adventure'],/upPOcyAhnL0tDPL8MsTRrOJquiJ.jpg
Northwest Passage,"Based on the Kenneth Roberts novel of the same name, this film tells the story of two friends who join Rogers' Rangers, as the legendary elite force engages the enemy during the French and Indian War. The film focuses on their famous raid at Fort St. Francis and their marches before and after the battle.",['Adventure'],/d1J3K23jhEEt2uezEvYY0YtatWi.jpg
Dr. Cyclops,Four explorers are summoned to Peru by the brilliant physicist Dr Thorkel. They discover a rich source of radium and a half-mad Thorkel who shrinks them down to one-fifth their normal size when they threaten to stop his unorthodox experimentation.,['Adventure'],/wUY0F1eCrC3Gy6xhg5yi4Dmd7jf.jpg
The Mechanical Monsters,Superman battles a criminal mastermind and his robot army.,['Adventure'],/3JujDGA5QIwcQ8vMHtt7mxBsl5o.jpg
Road to Morocco,"Two carefree castaways on a desert shore find an Arabian Nights city, where they compete for the luscious Princess Shalmar.",['Adventure'],/nECM25OC4iJHV1AHPa4CHnzYgyk.jpg
Reap the Wild Wind,"The Florida Keys in 1840, where the implacable hurricanes of the Caribbean scream, where the salvagers of Key West, like the intrepid and beautiful Loxi Claiborne and her crew, reap, aboard frail schooners, the harvest of the wild wind, facing the shark teeth of the reefs to rescue the sailors and the cargo from the shipwrecks caused by the scavengers of the sea.",['Adventure'],/hwlxeQKtGjUjixGPkCUVRslJkcv.jpg
